,5402,5404,5405,5403
2022-11-11,11.75,10.0,10.0,9.4
2022-11-12,4.95,4.0,4.0,0.01
2022-11-13,4.7,6.0,2.0,0.01
2022-11-14,22.25,10.0,12.25,7.8
2022-11-15,9.4,8.0,8.0,16.45
2022-11-16,2.35,6.0,4.0,4.05
2022-11-17,0.01,0.01,0.01,0.01
2022-11-18,2.35,2.0,0.01,2.35
2022-11-19,7.8,6.0,4.0,10.15
2022-11-20,4.7,6.0,4.0,7.3
2022-11-21,12.0,6.0,6.0,10.75
2022-11-22,2.35,4.0,2.0,3.8
2022-11-23,2.35,2.0,2.0,2.35
2022-11-24,0.01,2.0,0.01,2.35
2022-11-25,2.6,0.01,0.01,2.35
2022-11-26,10.15,9.0,7.0,11.22
2022-11-27,2.85,4.0,0.01,5.7
2022-11-28,9.4,6.0,6.0,12.0
2022-11-29,12.25,10.0,10.0,16.7
2022-11-30,7.05,10.0,6.0,11.75
2022-12-01,0.01,0.01,0.01,0.01
2022-12-02,2.35,4.0,2.0,4.95
2022-12-03,4.7,6.0,4.0,7.05
2022-12-04,2.35,4.0,2.0,7.3
2022-12-05,11.75,2.0,6.0,9.4
2022-12-06,12.0,10.0,10.0,14.35
2022-12-07,7.55,8.0,4.0,7.55
2022-12-08,0.01,2.0,0.01,2.35
2022-12-09,0.01,2.0,0.01,4.7
2022-12-10,2.35,4.0,2.0,4.95
2022-12-11,7.05,2.0,6.75,9.4
2022-12-12,2.6,2.0,2.0,2.6
2022-12-13,4.7,4.0,4.0,7.05
2022-12-14,0.01,0.01,0.01,0.01
2022-12-15,7.55,6.0,4.0,10.15
2022-12-16,2.35,2.0,2.0,2.35
2022-12-17,3.95,6.0,2.5,10.65
2022-12-18,2.6,2.0,2.0,2.35
2022-12-19,2.35,6.0,2.0,8.5
2022-12-20,2.35,2.0,2.0,2.35
2022-12-21,9.4,6.0,8.0,9.65
2022-12-22,9.9,10.0,6.75,14.6
2022-12-23,7.05,4.0,2.0,4.7
2022-12-24,5.8,6.0,2.0,7.3
2022-12-25,5.45,2.0,2.0,2.6
2022-12-26,2.35,4.0,2.0,4.7
2022-12-27,12.25,5.1,6.0,11.75
2022-12-28,0.01,2.0,0.01,2.35
2022-12-29,4.7,2.0,2.0,4.7
2022-12-30,0.01,0.01,0.01,0.01
2022-12-31,5.45,4.0,0.01,9.9
2023-01-01,7.3,6.0,4.0,7.05
2023-01-02,4.7,6.0,2.0,7.05
2023-01-03,2.35,2.0,2.0,2.35
2023-01-04,4.7,4.0,2.0,7.05
2023-01-05,2.6,8.0,2.0,12.5
2023-01-06,2.35,2.0,2.0,4.95
2023-01-07,7.55,4.0,4.0,8.05
2023-01-08,2.35,4.0,2.0,4.7
2023-01-09,11.75,12.0,8.0,14.6
2023-01-10,11.25,10.0,8.25,15.1
