,4580,3736,3739,3735,3747,3746
2022-10-07,2.24,0.01,2.24,0.01,0.01,0.01
2022-10-08,2.24,4.48,2.63,6.75,4.5,6.75
2022-10-09,4.48,4.48,4.48,9.0,4.5,9.0
2022-10-10,4.48,4.48,6.72,6.75,4.5,9.0
2022-10-11,2.24,0.01,4.87,7.75,5.1,6.75
2022-10-12,2.24,2.24,2.24,4.5,4.5,2.25
2022-10-13,6.72,7.11,6.72,4.5,9.3,4.8
2022-10-14,2.24,0.01,2.63,0.01,0.01,0.01
2022-10-15,2.24,2.24,0.01,6.75,4.5,6.75
2022-10-16,6.72,2.24,6.72,11.25,2.25,6.75
2022-10-17,2.24,2.24,2.24,4.5,4.5,4.5
2022-10-18,6.72,4.48,9.74,4.5,5.1,7.05
2022-10-19,4.48,2.24,4.48,6.75,4.5,0.01
2022-10-20,4.48,2.24,4.48,0.01,2.25,0.01
2022-10-21,4.48,2.24,6.72,4.5,4.8,4.8
2022-10-22,2.24,2.24,4.48,2.25,2.25,2.25
2022-10-23,4.48,4.48,2.24,4.5,4.5,4.8
2022-10-24,0.01,2.24,0.01,9.0,4.5,6.75
2022-10-25,4.48,0.01,4.48,2.25,0.01,2.25
2022-10-26,4.48,4.48,4.48,6.75,7.05,7.05
2022-10-27,4.48,2.24,4.48,4.5,4.5,2.25
2022-10-28,4.48,2.24,5.26,2.25,4.8,2.55
2022-10-29,4.48,2.24,5.26,6.75,2.25,6.75
2022-10-30,2.24,2.24,2.24,4.5,2.25,2.25
2022-10-31,2.24,2.63,2.63,4.5,2.25,4.5
2022-11-01,0.01,2.24,0.01,4.5,2.25,4.5
2022-11-02,4.48,1.63,2.24,7.75,2.25,7.05
2022-11-03,6.72,8.96,6.72,2.25,6.75,4.5
2022-11-04,2.24,2.24,4.48,4.5,6.75,0.01
2022-11-05,2.24,6.72,4.48,0.01,2.25,6.75
2022-11-06,4.48,4.48,6.72,2.25,6.75,6.75
2022-11-07,8.96,3.02,7.89,7.25,6.75,7.05
2022-11-08,2.24,0.01,2.24,4.5,2.25,2.25
2022-11-09,2.24,0.01,2.24,2.25,2.25,2.25
2022-11-10,2.24,0.01,2.24,6.75,0.01,2.25
2022-11-11,2.24,0.01,6.72,2.77,2.25,2.25
2022-11-12,0.01,0.01,0.01,2.25,0.01,2.25
2022-11-13,8.96,9.35,8.95,11.75,11.25,11.25
2022-11-14,2.24,0.01,2.63,2.25,0.01,2.25
2022-11-15,2.24,0.01,3.41,2.25,2.25,2.25
2022-11-16,4.48,4.87,6.72,4.5,4.5,2.25
2022-11-17,0.01,0.01,0.01,2.25,2.25,2.25
2022-11-18,2.24,0.01,2.24,2.25,0.01,2.25
2022-11-19,13.44,6.72,7.5,11.75,7.05,11.55
2022-11-20,11.2,0.01,15.39,2.25,0.01,0.01
2022-11-21,4.48,2.24,4.87,7.25,2.25,4.5
2022-11-22,6.72,7.5,7.5,3.25,6.75,2.25
2022-11-23,4.48,2.24,2.63,7.75,6.75,6.75
2022-11-24,2.24,2.24,2.24,2.25,2.25,2.25
2022-11-25,0.01,0.01,0.01,2.25,0.01,2.25
2022-11-26,0.01,0.01,0.01,2.25,0.01,4.5
2022-11-27,0.01,0.01,0.01,6.75,2.25,6.75
2022-11-28,4.48,2.24,4.48,5.0,4.5,4.8
2022-11-29,11.2,11.98,7.11,0.01,9.0,6.75
2022-11-30,0.01,0.01,0.01,4.5,4.5,2.25
2022-12-01,2.24,0.01,2.63,4.5,0.01,2.25
2022-12-02,2.24,0.01,2.24,0.01,2.25,2.25
2022-12-03,6.72,4.48,2.24,4.5,2.55,2.25
2022-12-04,4.48,8.67,4.48,2.75,7.05,4.5
